Data	Site	Group	Indel
B1_1T	B1	T	93.91
B1_2T	B1	T	93.75
B1_1M	B1	M	0.41
B1_2M	B1	M	0.33
B2_1T	B2	T	50.9
B2_2T	B2	T	49.37
B2_1M	B2	M	0.28
B2_2M	B2	M	0.2
B3_1T	B3	T	36.41
B3_2T	B3	T	33.86
B3_1M	B3	M	0.2
B3_2M	B3	M	0.12
B4_1T	B4	T	12.56
B4_2T	B4	T	17.22
B4_1M	B4	M	0.11
B4_2M	B4	M	0.18
B5_1T	B5	T	22.03
B5_2T	B5	T	23.61
B5_1M	B5	M	0.88
B5_2M	B5	M	0.83
